primary_type,description,arrest,domestic,beat,district,ward,community_area,year,latitude,longitude,hour,day_of_week,month,season,is_weekend,is_holiday,time_of_day,Is_STR,Is_OTH_STR,loc_desc_cat,pct_housing_crowded,pct_households_below_poverty,pct_age16_unemployed,pct_age25_nohighschool,pct_not_working_age,per_capita_income,hardship_index,population,pop_density,distance_to_police_station,distance_to_park,distance_to_school,distance_to_vacant_building,distance_to_library,crime_category
NARCOTICS,MANU/DELIVER:CRACK,True,False,2534,25.0,37.0,23.0,2019,41.903803352,-87.731255534,20,4,2,1,0,0,Night,False,True,Residential_Areas,14.8,33.9,17.3,35.4,38.0,13781,85.0,54165.0,15045.83,0.0373763830516066,0.0029464182889691,0.0026743803522286,0.0023064022753376,0.0065919823412446,non-violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,False,931,9.0,15.0,61.0,2024,41.806282112,-87.669767936,8,0,5,2,0,0,Morning,True,False,Transportation_And_Vehicles,11.9,29.0,23.0,41.5,38.9,12765,91.0,43628.0,9032.71,0.0280913448757125,0.0035271999324677,0.0036248137985014,0.0001470007821709,0.0080799928360445,non-violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,False,1123,11.0,28.0,27.0,2023,41.877262379,-87.71193332,6,4,5,2,0,0,Early Morning,False,True,Outdoor_And_Public_Spaces,8.2,42.4,19.6,21.3,43.2,12961,83.0,19992.0,10358.55,0.0074218278869788,0.0032345763063912,0.0040996943365011,0.0008283108026158,0.0129697764936706,non-violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,222,2.0,4.0,39.0,2021,41.802296431,-87.603109329,12,2,2,1,0,0,Noon,False,True,Outdoor_And_Public_Spaces,2.4,21.7,15.7,11.3,35.4,35911,26.0,19116.0,18380.77,0.0274551411671903,0.0022486745744009,0.0026447192172424,0.0145679152421128,0.0142353257863996,non-violent_crime
BATTERY,AGGRAVATED - HANDGUN,False,False,431,4.0,7.0,51.0,2023,41.709201015,-87.568847915,21,4,4,2,0,0,Night,False,True,Residential_Areas,4.0,29.2,16.3,21.0,39.5,14685,65.0,14105.0,1294.04,0.001362322695861,0.0035942572641714,0.00546557571095,0.0039063156156048,0.005227963750477,violent_crime
CRIMINAL TRESPASS,TO LAND,True,False,124,1.0,11.0,28.0,2023,41.862218265,-87.639087164,0,3,3,2,0,0,Early Morning,True,False,Other_Unclassified,3.8,20.6,10.7,9.6,22.2,44689,15.0,67881.0,11929.88,0.0123452596746185,0.0043958899720669,0.0114201685381387,0.0141380208013089,0.0107886992328635,non-violent_crime
BURGLARY,ATTEMPT FORCIBLE ENTRY,False,False,1215,12.0,1.0,24.0,2022,41.893704975,-87.667222033,17,4,2,1,0,0,Evening,False,True,Residential_Areas,2.3,14.7,6.6,12.9,21.7,43198,10.0,87781.0,19166.16,0.0257044735773157,0.0059300967471885,0.0026456072425889,0.0149848139588011,0.0024849746115275,non-violent_crime
THEFT,OVER $500,False,False,1914,19.0,46.0,3.0,2023,41.967338051,-87.650890358,6,0,8,3,0,0,Early Morning,False,True,Transportation_And_Vehicles,3.8,24.0,8.9,11.8,22.2,35787,20.0,57182.0,24647.41,0.0199472804794434,0.003158294565982,0.0024027930625592,0.0253240863838863,0.0096197745443889,non-violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,1011,10.0,24.0,29.0,2019,41.863452462,-87.715338044,16,1,4,2,0,0,Evening,False,True,Outdoor_And_Public_Spaces,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.0097052567287912,0.0006835352400214,0.0023779282551621,0.0033546248205662,0.0052518564428813,violent_crime
THEFT,RETAIL THEFT,True,False,833,8.0,18.0,65.0,2023,41.754592961,-87.741528537,15,6,2,1,1,0,Noon,False,True,Commercial_Areas,5.8,14.9,9.6,33.6,39.6,16907,56.0,33662.0,11410.85,0.0407683964020403,0.0118293390510283,0.0123503920606675,0.015677822284483,0.01792370069542,non-violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,False,133,1.0,3.0,35.0,2024,41.843962091,-87.623595224,2,0,7,3,0,0,Early Morning,False,True,Commercial_Areas,1.8,29.6,18.2,14.3,30.7,23791,47.0,20291.0,12297.58,0.0132619072646726,0.0031750515443637,0.0049954341461676,0.0174611793857459,0.0131579950559979,non-violent_crime
MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,False,False,2413,24.0,50.0,2.0,2024,41.995851357,-87.693980209,22,5,5,2,1,0,Night,False,True,Outdoor_And_Public_Spaces,7.8,17.2,8.8,20.8,38.5,23040,46.0,77122.0,21847.59,0.0163413594241743,0.004427890220462,0.0055061437038102,0.0044581274006574,0.009962064036948,non-violent_crime
OTHER OFFENSE,HARASSMENT BY TELEPHONE,False,False,332,3.0,5.0,43.0,2024,41.771482393,-87.589235302,13,6,3,2,1,0,Noon,True,False,Residential_Areas,2.8,31.1,20.0,14.0,35.7,19398,55.0,53971.0,18420.14,0.0172679545477149,0.0038534521569145,0.0039282679942086,0.0020683155147644,0.0144824317775746,non-violent_crime
ASSAULT,SIMPLE,True,True,832,8.0,16.0,66.0,2023,41.771996241,-87.680045067,9,1,6,3,0,0,Morning,False,True,Residential_Areas,7.6,27.9,17.1,31.2,40.6,13231,80.0,55931.0,15844.48,0.0206234952341559,0.0043767358116676,0.0053786190569202,0.0004230361102372,0.0137081271023945,violent_crime
MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,False,False,324,3.0,8.0,43.0,2020,41.762443628,-87.583049974,2,3,2,1,0,0,Early Morning,True,False,Outdoor_And_Public_Spaces,2.8,31.1,20.0,14.0,35.7,19398,55.0,53971.0,18420.14,0.0230454396166607,0.000978410547985,0.0061226430505078,0.0055646042210111,0.0163204087161585,non-violent_crime
BATTERY,SIMPLE,True,False,913,9.0,11.0,60.0,2019,41.837650931,-87.646266397,17,5,11,4,1,0,Evening,True,False,Transportation_And_Vehicles,4.5,18.9,13.7,22.2,31.3,22694,43.0,33702.0,16125.36,0.0002928517149818,0.002545863981921,0.0057575225469345,0.0025187114065453,0.0048533660172679,violent_crime
THEFT,$500 AND UNDER,False,True,2023,20.0,48.0,77.0,2024,41.980875696,-87.656538472,1,2,7,3,0,0,Early Morning,False,True,Residential_Areas,4.1,18.2,9.2,9.7,23.8,33385,19.0,56296.0,32354.02,0.0239868463612873,0.0023501918794178,0.0052571294690083,0.0146279622830238,0.0103166877239582,non-violent_crime
ASSAULT,SIMPLE,False,False,133,1.0,3.0,35.0,2019,41.844073188,-87.626926379,19,6,3,2,1,0,Night,True,False,Transportation_And_Vehicles,1.8,29.6,18.2,14.3,30.7,23791,47.0,20291.0,12297.58,0.0138298635048574,0.0013856893155314,0.0016640711784654,0.014611795473614,0.0112369793996157,violent_crime
ASSAULT,SIMPLE,False,False,834,8.0,18.0,70.0,2019,41.752175858,-87.72743395,18,6,6,3,1,0,Evening,False,True,Outdoor_And_Public_Spaces,4.0,10.4,11.7,17.7,36.9,23482,37.0,41098.0,8456.38,0.0326143718601356,0.0013646717313709,0.0066237333888096,0.0026122274930888,0.0041841094740451,violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,2412,24.0,50.0,2.0,2018,42.004137386,-87.691266615,18,2,12,1,0,0,Evening,False,True,Outdoor_And_Public_Spaces,7.8,17.2,8.8,20.8,38.5,23040,46.0,77122.0,21847.59,0.0204163508027888,0.0018271096301067,0.0062729211008354,0.012950577152046,0.0014066470257329,non-violent_crime
THEFT,OVER $500,False,False,833,8.0,23.0,65.0,2024,41.767756832,-87.720997056,16,6,3,2,1,0,Evening,True,False,Outdoor_And_Public_Spaces,5.8,14.9,9.6,33.6,39.6,16907,56.0,33662.0,11410.85,0.0165328871235412,0.0079075326415024,0.001792828715553,0.0042193359749666,0.011334690931581,non-violent_crime
NARCOTICS,POSS: CRACK,True,False,1022,10.0,24.0,29.0,2019,41.858706132,-87.7054467,13,1,5,2,0,0,Noon,False,True,Other_Unclassified,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.0035640743418181,0.0033541107745497,0.003870136737275,0.0012921109331033,0.0074104646361903,non-violent_crime
THEFT,POCKET-PICKING,False,False,1834,18.0,42.0,8.0,2023,41.888267493,-87.627075047,18,2,8,3,0,0,Evening,False,True,Transportation_And_Vehicles,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0221171683176486,0.0087088445321543,0.0119705456609965,0.0088503818319421,0.0099305160395418,non-violent_crime
THEFT,$500 AND UNDER,False,False,1222,12.0,27.0,27.0,2020,41.882024337,-87.693074484,12,1,7,3,0,0,Noon,False,True,Outdoor_And_Public_Spaces,8.2,42.4,19.6,21.3,43.2,12961,83.0,19992.0,10358.55,0.0150122205074323,0.0040394338247821,0.0007984730416935,0.0019461359916342,0.0138712377131895,non-violent_crime
ASSAULT,AGGRAVATED - HANDGUN,True,True,835,8.0,18.0,66.0,2021,41.760274841,-87.696576967,14,2,3,2,0,0,Noon,True,False,Residential_Areas,7.6,27.9,17.1,31.2,40.6,13231,80.0,55931.0,15844.48,0.0223856820700585,0.0049243450216425,0.0092000966973506,0.0007151610847963,0.0227397092338273,violent_crime
ROBBERY,STRONG ARM - NO WEAPON,False,True,1824,18.0,27.0,8.0,2024,41.901822321,-87.633071176,18,0,4,2,0,0,Evening,True,False,Residential_Areas,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.01037847366329,0.004705565489155,0.0007674214486025,0.0170043561889414,0.0041177329904794,violent_crime
ROBBERY,ARMED - OTHER DANGEROUS WEAPON,False,False,1032,10.0,22.0,30.0,2023,41.84010837,-87.711012148,20,5,8,3,1,0,Night,False,True,Residential_Areas,15.2,30.7,15.8,54.8,33.8,10402,96.0,71399.0,15555.34,0.0167835326812003,0.0009074587221415,0.0051411953611972,0.0020581481936432,0.0112063977902389,violent_crime
THEFT,OVER $500,False,False,2223,22.0,21.0,71.0,2021,41.732110965,-87.643501482,1,6,9,4,1,0,Early Morning,True,False,Residential_Areas,4.0,27.6,28.3,18.5,41.9,15528,74.0,44878.0,11903.98,0.02003908233954,0.0069880992642851,0.0038139288969567,0.0028055391389459,0.0114250715610435,non-violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,False,1021,10.0,24.0,29.0,2021,41.862417005,-87.713648303,15,0,8,3,0,0,Noon,False,True,Residential_Areas,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.0077843200229205,0.0014081181259652,0.0008585225716513,0.0014028242864134,0.0040059651757877,non-violent_crime
NARCOTICS,POSS: PCP,True,False,1131,11.0,24.0,25.0,2019,41.875640728,-87.742652954,11,1,4,2,0,0,Morning,False,True,Outdoor_And_Public_Spaces,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0259303645676751,0.0011749721161704,0.0069698210070907,0.0012034890760785,0.0175715247116621,non-violent_crime
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,False,False,823,8.0,23.0,66.0,2021,41.77883653,-87.711469245,13,0,3,2,0,0,Noon,True,False,Commercial_Areas,7.6,27.9,17.1,31.2,40.6,13231,80.0,55931.0,15844.48,0.0026097773595115,0.0079440680874529,0.005593714903432,0.0012642720886448,0.0086884986048819,non-violent_crime
THEFT,OVER $500,False,False,1414,14.0,32.0,22.0,2019,41.927717169,-87.707247263,13,4,11,4,0,0,Noon,False,True,Outdoor_And_Public_Spaces,3.2,16.8,8.2,14.8,26.2,31908,23.0,71665.0,19962.4,0.0118192090328009,0.005187502456515,0.004729818957662,0.0054427568992849,0.0046968942466167,non-violent_crime
NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,True,False,1531,15.0,37.0,25.0,2018,41.894947832,-87.754772114,23,0,12,1,0,0,Night,False,True,Outdoor_And_Public_Spaces,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0200313435211049,0.0020887723981522,0.0043719418991422,0.0020729257680649,0.0067130215697008,non-violent_crime
OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,False,True,213,2.0,3.0,38.0,2021,41.817516881,-87.619815251,3,6,6,3,1,0,Early Morning,False,True,Residential_Areas,3.3,29.3,24.3,15.9,39.5,23472,57.0,24589.0,14131.61,0.0136622215329745,0.0019278181751042,0.0045336441883566,0.0082553748744706,0.0105244166478506,non-violent_crime
BATTERY,SIMPLE,False,False,1824,18.0,2.0,8.0,2018,41.903167836,-87.629170007,0,6,12,1,1,0,Early Morning,True,False,Commercial_Areas,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0141823250892243,0.0033281720168813,0.0031385728868197,0.0200172386218475,0.007476846274609,violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,631,6.0,8.0,44.0,2023,41.745840476,-87.600891173,22,3,12,1,0,0,Night,True,False,Outdoor_And_Public_Spaces,3.3,27.8,24.0,14.5,40.3,18881,60.0,31710.0,10749.15,0.0211554380079342,0.005396339724382,0.0056926985264217,0.0036408373456058,0.0148960551129775,non-violent_crime
THEFT,$500 AND UNDER,False,False,413,4.0,8.0,47.0,2021,41.725821491,-87.596715326,20,1,3,2,0,0,Night,True,False,Outdoor_And_Public_Spaces,6.8,33.0,18.6,19.3,42.7,12515,79.0,2527.0,4142.62,0.033535494298591,0.0013933534754479,0.0027460568466781,0.0014083730983475,0.0231924941690507,non-violent_crime
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,False,False,1235,12.0,25.0,31.0,2023,41.854751251,-87.651471903,16,5,4,2,1,0,Evening,True,False,Residential_Areas,9.6,25.8,15.8,40.7,32.6,16444,76.0,33751.0,11519.11,0.0098951186225603,0.0018984524102184,0.0034234697094498,0.0110388494401943,0.0101022013644915,non-violent_crime
